scenario,variant,steps,operator_commands,count_basis,source,notes
Provisioning self-hosted environment,Valkey on GKE,7,11,manual runbook command sites,"chapter 3 listings 3.1, 3.3, 3.4, 3.5, 3.7","Includes GKE cluster, monitoring, Chaos Mesh, Valkey chart preparation, and Helm install. Does not count repeated wait/poll loop iterations."
Provisioning self-hosted environment,Redis 7.2 on GKE,5,8,manual runbook command sites,"chapter 3 listings 3.1, 3.3, 3.4, 3.9","Includes GKE cluster, monitoring, Chaos Mesh, and Redis Helm install. Does not count repeated wait/poll loop iterations."
Provisioning managed environment,Memorystore for Redis Cluster,1,1,manual runbook command sites,"chapter 3 listing 3.2","Single managed-service create command; provider hides internal provisioning steps."
Failover master,self-hosted Valkey or Redis 7.2,6,4,procedure audit,"chapter 3 failover procedure","Counts workload start, topology read, PodChaos apply, and result collection as operator-visible commands."
Split-brain network partition,self-hosted Valkey or Redis 7.2,7,5,procedure audit,"chapter 3 split-brain procedure","Counts topology read, pod labelling, NetworkChaos apply, client execution, and verification/reporting."
CPU stress resilience,self-hosted Valkey or Redis 7.2,6,4,procedure audit,"chapter 3 CPU stress procedure","Counts workload start, topology read, StressChaos apply, and result collection."
Memory pressure resilience,self-hosted Valkey or Redis 7.2,7,6,procedure audit,"chapter 3 memory pressure procedure","Counts eviction policy change, pre/post state reads, seed, memtier observation, and final report."
Rolling upgrade,Valkey self-hosted,7,5,procedure audit,"chapter 3 rolling upgrade procedure","Counts restore to baseline, workload pod, control client, helm upgrade, rollout/readiness check, and result collection."
Resharding up 3-to-4,self-hosted Valkey legacy or Redis 7.2,7,5,procedure audit,"chapter 3 resharding procedure","Counts health check, workload start, Helm scale-up, readiness wait, explicit slot migration, final health check."
Resharding down 4-to-3,self-hosted Valkey legacy or Redis 7.2,8,6,procedure audit,"chapter 3 resharding procedure","Counts workload start, slot migration away from removed shard, del-node, Helm scale-down, readiness wait, final health check."
Resharding up/down,Valkey atomic migration,7,5,procedure audit,"chapter 3 resharding procedure","Same operator shape as self-hosted legacy, with atomic slot migration flag."
Resharding up/down,Memorystore for Redis Cluster,4,2,procedure audit,"chapter 3 resharding procedure","Counts workload start and gcloud shard-count update; internal migration phases are black-box."
Backup and restore,self-hosted Valkey or Redis 7.2 online PVC snapshot,11,12,procedure audit,"chapter 3 backup/restore procedure","Counts seed, replica selection, BGSAVE, RDB validation, PVC snapshots, fresh target cluster, disks from snapshots, RDB copy, replica PVC cleanup, readiness wait, verification."
Backup and restore,Memorystore managed backup,6,5,procedure audit,"chapter 3 backup/restore procedure","Counts seed, create-backup, create restore cluster with import-managed-backup, ready-state wait, verification pod, cleanup of restore cluster."
